District,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13
BANKURA,17,33,3285,164,10688,7835,2565,2338,5710,3992,7006,8663,12525
BARDDHAMAN,0,0,2362,293,5706,7893,2959,1906,4160,419,5180,5317,7351
BIRBHUM,4,0,933,23,2999,2029,1660,612,1859,429,2475,2583,3282
DAKSHIN DINAJPUR *,10,2,3086,24,6416,4780,3192,1702,4357,118,5207,5115,7505
DARJILING,0,0,1065,0,2830,2819,0,0,1658,2124,2656,8060,3641
HAORA,8,2,2503,221,7360,5286,2348,1720,3168,1832,6158,6701,9812
HUGLI,8,5,2625,0,7480,6318,2684,2855,4324,2160,6099,7659,8277
JALPAIGURI,4,8,2715,70,6666,4018,3526,3200,3814,1559,6671,4795,7369
KOCH BIHAR,2,0,2466,17,5384,4353,2793,3037,2529,1090,4263,5657,6203
KOLKATA,1,28,1306,133,4759,6383,52,668,3628,0,4133,7839,10265
MALDAH,7,28,2097,158,8153,5323,2582,625,4231,1951,5332,5583,9330
MEDINIPUR,2,5,2906,99,8003,5697,3047,1596,3842,1029,6791,5803,8719
MURSHIDABAD,10,46,4654,207,14593,9953,4917,6626,9405,1886,10093,10809,16434
NADIA,253,3,2173,97,7366,5615,2713,3907,4242,1983,5612,6205,8061
NORTH TWENTY FOUR PA,0,0,2278,67,11840,13110,0,2095,9883,6285,9259,10728,14323
PURULIYA,9,0,2079,80,5632,4752,2194,810,3939,382,4797,5679,6404
SOUTH TWENTY FOUR P,24,9,4943,142,13059,10121,6676,1655,7780,4345,10371,13193,15826
UTTAR DINAJPUR,5,2,2061,45,5695,3002,1989,345,2504,1057,3761,4577,7415
